symbol,timeframe,no,num,profit,drawdown,win_rate,ma_long_period,ma_long_trend_th,atr_period,atr_multiply,update_count,atrp_period,profit_ma_period,profit_target,profit_drop,strategy,begin_hour,begin_minute,hours,sl_method,sl_value,trail_target,trail_stop,volume,position_max,timelimit
CL,M30,9,1798,114.139,-115.205,0.382091212,25,0.5,10,2,3,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[1.1],0,0,0.1,2,0
NSDQ,M30,0,3256,14392.58,-18884.198,0.352272727,25,0.3,20,1,1,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[60],0,0,0.1,2,0
XAUUSD,H1,1,378,1268.96,-470.216,0.41005291,65,0.3,5,3,5,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[25],0,0,0.1,2,0
XAUUSD,M30,5,1261,1895.63,-1261.616,0.363996828,30,0.4,5,3,2,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[50],0,0,0.1,2,0
NIKKEI,H1,13,692,10802.65,-9094,0.222543353,70,0.3,15,1,4,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[50],0,0,0.1,2,0
NIKKEI,M30,21,614,17192.05,-16927.2,0.311074919,65,0.2,20,4,8,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[150],0,0,0.1,2,0
DOW,M30,15,750,14931.75,-12825.54,0.276,30,0.8,15,3.5,6,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[100],0,0,0.1,2,0
NGAS,M30,21,1036,4.107,-3.3052,0.137065637,20,2.2,15,3,6,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[0.01],0,0,0.1,2,0
SP,M30,42,979,1753.43,-1501.818,0.374872319,35,0.8,5,1.5,6,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[20],0,0,0.1,2,0
HK50,M30,39,781,14889.24,-14234.458,0.252240717,25,1.6,20,3,2,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[90],0,0,0.1,2,0
